gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group B,some college,standard,none,66,61,57
male,group D,some college,standard,none,55,65,63
female,group B,some college,standard,none,55,58,60
female,group E,bachelor's degree,standard,completed,80,81,78
male,group D,associate's degree,standard,none,61,56,60
male,group D,some high school,standard,none,76,65,64
male,group D,high school,standard,none,88,87,86
female,group B,high school,free/reduced,completed,63,77,72
male,group C,some college,standard,none,63,52,57
male,group A,some high school,free/reduced,none,53,54,50
female,group B,associate's degree,standard,none,77,76,76
female,group D,some high school,standard,completed,76,87,86
female,group E,some high school,standard,none,62,66,66
female,group B,bachelor's degree,standard,none,75,85,84
male,group C,associate's degree,standard,none,78,78,74
female,group D,high school,standard,none,56,66,68
female,group C,master's degree,free/reduced,none,71,90,89
male,group E,some college,standard,none,60,54,51
female,group C,some college,standard,none,72,82,82
female,group C,some college,standard,completed,85,93,88
female,group C,associate's degree,free/reduced,none,40,63,68
female,group B,high school,standard,none,64,78,77
male,group C,bachelor's degree,free/reduced,none,70,67,63
female,group E,some high school,free/reduced,completed,53,72,72
female,group E,high school,standard,completed,73,61,69
male,group D,some college,standard,completed,76,76,73
female,group B,bachelor's degree,standard,none,96,93,98
male,group E,high school,standard,completed,91,88,85
male,group C,high school,standard,none,62,49,47
male,group C,some high school,standard,completed,62,54,57
female,group E,some college,free/reduced,none,68,75,72
male,group C,associate's degree,free/reduced,none,45,47,38
female,group C,high school,standard,none,65,61,65
female,group B,some high school,standard,none,44,47,45
female,group C,master's degree,standard,none,80,79,81
male,group C,some high school,standard,completed,46,48,43
male,group B,bachelor's degree,standard,none,82,84,77
male,group C,some college,free/reduced,none,38,40,42
female,group C,bachelor's degree,standard,completed,92,100,100
male,group B,high school,standard,none,65,61,56
male,group B,high school,standard,none,66,69,69
female,group B,master's degree,standard,none,86,86,89
male,group B,bachelor's degree,standard,none,94,78,80
female,group B,associate's degree,standard,none,61,66,67
male,group C,high school,standard,completed,90,90,82
female,group C,some college,free/reduced,none,70,83,76
female,group C,some high school,free/reduced,none,61,70,65
female,group B,bachelor's degree,standard,none,44,56,49
female,group B,associate's degree,standard,completed,92,98,94
male,group E,high school,standard,none,81,69,63
female,group B,associate's degree,standard,completed,70,83,89
female,group D,associate's degree,standard,none,77,77,78
female,group B,master's degree,standard,none,61,65,67
female,group C,some college,free/reduced,completed,38,56,56
male,group C,associate's degree,standard,none,68,65,58
female,group C,bachelor's degree,free/reduced,completed,76,93,95
male,group D,high school,standard,completed,91,90,96
male,group B,some high school,free/reduced,completed,43,49,48
female,group C,some college,free/reduced,none,53,69,68
female,group E,master's degree,standard,completed,84,94,100
male,group D,some high school,free/reduced,none,75,85,76
female,group E,high school,free/reduced,none,64,71,69
male,group E,some high school,free/reduced,completed,71,77,66
male,group B,bachelor's degree,standard,none,65,71,68
male,group D,some high school,free/reduced,none,45,46,40
male,group A,some college,standard,none,60,49,49
male,group C,some college,standard,none,62,50,51
female,group B,some high school,standard,none,56,64,62
male,group B,high school,standard,completed,70,60,65
female,group C,some college,standard,completed,60,66,76
female,group D,some high school,free/reduced,completed,31,37,42
male,group D,some college,standard,completed,83,72,74
male,group C,high school,free/reduced,none,55,52,43
male,group A,associate's degree,standard,none,84,90,79
male,group E,some college,free/reduced,none,48,42,46
female,group D,some college,free/reduced,none,61,73,79
female,group A,some college,free/reduced,none,64,79,82
male,group D,high school,standard,none,67,59,62
male,group B,high school,free/reduced,none,58,58,59
female,group E,associate's degree,free/reduced,completed,94,96,96
female,group B,some high school,standard,completed,63,60,65
female,group C,some high school,free/reduced,completed,68,87,85
female,group C,associate's degree,standard,completed,80,90,97
male,group C,associate's degree,free/reduced,none,64,67,65
female,group D,high school,standard,none,67,66,75
male,group B,associate's degree,standard,completed,73,65,66
male,group C,some college,free/reduced,none,68,67,62
male,group C,associate's degree,standard,completed,47,45,44
male,group D,bachelor's degree,standard,none,77,79,84
female,group B,master's degree,standard,none,78,80,86
female,group E,associate's degree,free/reduced,none,62,69,63
male,group D,some college,standard,none,64,56,55
male,group A,some college,free/reduced,none,38,53,49
female,group B,master's degree,standard,none,91,97,100
male,group B,bachelor's degree,free/reduced,none,50,58,46
male,group E,high school,free/reduced,none,84,78,79
male,group C,some high school,standard,completed,59,53,55
male,group E,associate's degree,free/reduced,none,95,80,74
female,group C,some college,standard,none,86,86,87
female,group B,bachelor's degree,standard,none,45,60,55
male,group D,high school,standard,none,76,75,61
female,group C,some college,standard,none,74,85,82
male,group B,some high school,standard,completed,73,69,74
male,group C,associate's degree,standard,none,71,68,62
female,group C,some college,standard,none,77,84,85
female,group D,some high school,standard,none,89,88,91
female,group D,associate's degree,free/reduced,none,59,56,59
male,group D,some college,free/reduced,none,56,63,56
female,group D,some college,standard,none,45,55,54
female,group B,bachelor's degree,standard,none,84,83,81
female,group D,some high school,standard,none,78,85,84
female,group A,high school,free/reduced,none,49,69,67
female,group C,high school,standard,none,63,78,77
female,group C,associate's degree,standard,none,62,74,70
female,group C,bachelor's degree,standard,completed,90,100,100
male,group A,some college,standard,completed,80,86,82
female,group E,some high school,free/reduced,none,57,64,60
female,group C,master's degree,free/reduced,completed,84,94,95
female,group B,bachelor's degree,free/reduced,none,71,82,85
male,group E,some high school,standard,completed,82,77,71
female,group D,some college,standard,completed,95,100,100
male,group C,some college,free/reduced,none,57,60,55
male,group B,some college,standard,completed,73,63,61
male,group D,high school,standard,none,75,68,67
female,group D,some college,standard,completed,71,79,89
male,group E,bachelor's degree,standard,none,79,70,62
female,group B,bachelor's degree,standard,none,72,82,83
male,group C,bachelor's degree,free/reduced,none,46,36,30
female,group B,associate's degree,free/reduced,none,39,58,52
female,group C,high school,standard,completed,56,69,66
female,group C,associate's degree,standard,none,60,64,63
female,group B,some high school,standard,completed,83,87,84
male,group C,some high school,standard,none,73,71,66
male,group B,associate's degree,free/reduced,none,77,62,66
male,group D,associate's degree,standard,completed,75,77,69
female,group B,associate's degree,free/reduced,completed,67,78,81
male,group E,master's degree,free/reduced,none,84,77,77
male,group C,associate's degree,standard,none,93,87,89
female,group C,associate's degree,standard,none,66,70,73
female,group B,master's degree,free/reduced,none,65,80,81
female,group C,some college,standard,none,65,70,67
male,group C,some college,standard,none,35,22,26
male,group B,master's degree,free/reduced,completed,80,96,94
male,group E,some high school,standard,completed,80,70,68
male,group D,high school,standard,none,43,49,40
female,group B,bachelor's degree,free/reduced,completed,55,62,63
female,group E,associate's degree,standard,completed,94,99,98
female,group E,high school,free/reduced,completed,70,83,81
female,group B,high school,standard,none,62,70,68
male,group B,bachelor's degree,standard,none,83,77,74
male,group E,associate's degree,standard,none,74,64,65
female,group C,high school,free/reduced,completed,67,79,78
female,group D,some college,standard,none,44,44,48
female,group C,some high school,standard,completed,54,71,63
male,group D,some high school,standard,none,80,81,77
female,group E,some college,free/reduced,none,60,70,64
female,group E,some college,free/reduced,none,48,60,55
female,group C,bachelor's degree,standard,none,76,82,86
female,group A,some high school,standard,none,70,79,75
female,group D,some high school,standard,none,65,82,81
female,group A,some college,free/reduced,none,69,86,83
male,group E,associate's degree,standard,none,87,75,73
male,group D,associate's degree,standard,completed,99,96,100
male,group A,some college,free/reduced,none,73,79,69
male,group C,some high school,standard,completed,66,61,63
male,group D,bachelor's degree,free/reduced,completed,44,41,45
female,group D,some high school,standard,none,81,92,91
female,group B,some high school,free/reduced,none,36,56,46
male,group C,some high school,standard,none,69,57,52
male,group D,bachelor's degree,free/reduced,none,81,69,69
female,group E,high school,free/reduced,completed,61,74,68
female,group A,associate's degree,free/reduced,none,59,79,73
male,group C,some college,standard,none,79,72,66
male,group E,high school,free/reduced,completed,50,47,49
male,group C,high school,free/reduced,none,48,39,40
male,group C,some college,standard,none,91,86,77
male,group C,high school,standard,none,47,44,44
male,group D,associate's degree,standard,completed,75,67,72
female,group C,some high school,standard,none,62,63,61
male,group D,high school,free/reduced,none,46,45,39
female,group E,high school,free/reduced,completed,59,75,71
male,group B,master's degree,standard,completed,97,86,88
female,group D,some college,free/reduced,none,69,84,79
female,group E,some high school,standard,completed,88,100,100
male,group D,bachelor's degree,standard,completed,89,85,90
male,group C,high school,standard,none,75,76,69
male,group D,some college,standard,completed,67,61,66
male,group C,some high school,standard,none,84,67,65
female,group D,high school,standard,completed,64,69,76
male,group C,some high school,standard,none,58,53,49
female,group E,bachelor's degree,standard,none,92,93,94
female,group E,some college,standard,completed,75,61,70
male,group B,associate's degree,standard,none,47,55,54
female,group D,some college,standard,completed,98,100,100
male,group B,some high school,free/reduced,none,59,61,57
male,group E,some college,standard,none,70,63,52
female,group C,bachelor's degree,standard,none,38,43,48
male,group C,some high school,free/reduced,none,35,42,30
male,group C,some college,standard,completed,54,58,52
male,group D,some high school,standard,completed,54,50,61
female,group E,some high school,free/reduced,none,73,83,77
male,group D,high school,free/reduced,completed,52,48,47
female,group E,high school,standard,none,68,69,64
male,group D,some high school,standard,none,71,67,60
female,group A,associate's degree,free/reduced,none,57,69,67
male,group A,associate's degree,free/reduced,none,54,52,46
female,group E,some college,free/reduced,none,48,62,57
female,group A,bachelor's degree,free/reduced,completed,53,55,63
female,group C,some college,free/reduced,completed,74,89,96
male,group D,associate's degree,standard,completed,64,54,60
male,group D,master's degree,free/reduced,none,58,62,61
female,group D,some college,standard,none,87,99,97
male,group E,some high school,free/reduced,none,53,51,41
female,group D,high school,standard,completed,90,100,100
male,group C,some college,free/reduced,none,58,63,61
male,group E,some college,standard,none,67,55,57
male,group B,high school,standard,completed,54,58,57
female,group B,some high school,standard,none,76,87,82
female,group C,master's degree,free/reduced,completed,95,96,99
male,group C,high school,free/reduced,none,25,27,29
female,group A,high school,free/reduced,completed,82,95,92
male,group B,associate's degree,standard,none,81,83,83
female,group C,bachelor's degree,standard,none,78,86,82
female,group D,bachelor's degree,free/reduced,completed,82,92,98
male,group D,some college,free/reduced,none,51,35,35
female,group D,bachelor's degree,standard,none,61,66,76
male,group D,associate's degree,free/reduced,none,53,52,45
female,group B,associate's degree,standard,completed,87,97,97
female,group D,high school,standard,none,60,62,68
female,group A,master's degree,standard,completed,81,85,90
male,group C,associate's degree,standard,none,64,59,54
male,group C,some college,standard,completed,51,54,59
female,group D,some college,standard,none,79,90,92
female,group C,high school,standard,none,79,82,90
male,group E,some high school,free/reduced,none,67,64,64
female,group C,bachelor's degree,standard,completed,73,79,87
female,group D,associate's degree,free/reduced,none,41,43,43
male,group D,bachelor's degree,free/reduced,none,50,44,41
male,group E,bachelor's degree,free/reduced,none,82,61,68
male,group D,high school,free/reduced,completed,56,58,55
male,group B,associate's degree,free/reduced,none,75,67,66
male,group E,high school,standard,none,94,71,70
female,group E,associate's degree,standard,completed,73,84,88
female,group B,some high school,standard,none,68,77,67
male,group E,associate's degree,free/reduced,none,53,50,49
female,group D,some high school,standard,completed,59,63,72
male,group D,some college,standard,none,76,76,77
male,group C,some high school,standard,completed,77,73,71
male,group D,bachelor's degree,standard,none,75,58,58
female,group D,high school,free/reduced,none,73,87,84
female,group E,associate's degree,standard,completed,79,90,97
female,group B,high school,free/reduced,none,54,75,72
male,group D,some college,standard,none,78,64,67
female,group D,bachelor's degree,standard,completed,71,69,81
male,group B,high school,standard,none,89,78,73
female,group B,high school,standard,completed,56,72,79
male,group D,associate's degree,free/reduced,none,52,50,47
male,group B,high school,standard,none,62,57,52
male,group C,some high school,standard,none,54,46,43
female,group E,some college,standard,none,75,83,79
male,group E,some high school,free/reduced,none,47,49,44
female,group E,high school,standard,none,82,90,85
female,group D,some college,free/reduced,none,60,72,70
male,group B,high school,free/reduced,none,19,23,22
male,group C,master's degree,standard,completed,80,77,76
female,group D,high school,standard,none,67,79,76
male,group B,master's degree,standard,none,52,55,47
male,group B,high school,free/reduced,none,59,57,55
female,group D,bachelor's degree,standard,completed,80,87,89
male,group B,some college,free/reduced,none,51,37,33
female,group C,some high school,standard,completed,61,74,68
male,group A,master's degree,standard,completed,66,53,61
male,group D,some high school,standard,none,87,74,76
female,group B,associate's degree,standard,none,71,78,74
male,group C,some high school,free/reduced,none,69,66,59
male,group D,high school,standard,none,60,57,56
female,group D,high school,standard,none,68,80,70
female,group B,some high school,standard,none,60,71,63
female,group B,associate's degree,standard,none,58,71,69
female,group B,some high school,free/reduced,none,61,69,62
female,group C,master's degree,standard,completed,86,97,93
female,group D,high school,standard,none,52,65,65
male,group D,associate's degree,standard,completed,82,69,69
female,group B,high school,standard,completed,70,78,85
female,group D,associate's degree,standard,none,72,84,87
male,group B,bachelor's degree,free/reduced,completed,89,86,84
male,group C,associate's degree,standard,none,70,63,63
male,group E,some college,standard,none,81,84,72
male,group C,associate's degree,standard,completed,81,74,71
male,group D,high school,standard,completed,54,54,53
male,group D,some high school,free/reduced,completed,57,57,56
male,group E,bachelor's degree,standard,none,88,77,74
female,group D,some college,free/reduced,completed,54,67,77
female,group E,some high school,standard,completed,76,93,90
female,group C,master's degree,standard,completed,48,66,64
male,group D,some college,standard,none,65,64,65
male,group E,some high school,standard,none,83,70,58
male,group D,high school,standard,none,69,59,62
male,group D,some high school,free/reduced,none,70,74,72
male,group C,some college,free/reduced,completed,70,68,67
male,group E,some college,free/reduced,completed,97,86,87
female,group E,some college,free/reduced,none,48,59,53
female,group C,associate's degree,standard,completed,92,97,100
female,group C,some college,standard,completed,91,95,96
female,group A,some college,standard,completed,62,74,75
male,group A,associate's degree,standard,none,66,63,56
male,group D,master's degree,free/reduced,none,55,58,56
female,group E,associate's degree,free/reduced,none,65,68,69
male,group C,associate's degree,standard,none,90,89,85
female,group C,associate's degree,free/reduced,none,54,69,65
female,group C,master's degree,free/reduced,none,66,71,74
female,group B,associate's degree,free/reduced,none,68,74,72
male,group E,high school,free/reduced,none,70,79,74
female,group C,high school,standard,completed,58,77,69
female,group C,bachelor's degree,free/reduced,completed,64,82,84
male,group D,some college,free/reduced,completed,60,74,64
male,group E,some college,standard,none,100,95,84
female,group D,some high school,standard,none,53,70,69
female,group D,some high school,standard,none,70,77,75
male,group D,some high school,standard,completed,88,91,90
male,group C,associate's degree,standard,completed,67,59,59
male,group B,some college,standard,completed,48,52,53
male,group D,master's degree,standard,completed,80,82,84
male,group E,bachelor's degree,free/reduced,none,82,66,64
female,group B,some college,standard,none,58,63,73
female,group D,some college,free/reduced,none,43,53,44
female,group C,some high school,standard,none,67,74,71
female,group C,high school,standard,none,38,58,55
male,group B,associate's degree,standard,none,58,59,54
male,group E,some college,free/reduced,none,56,35,30
female,group E,associate's degree,standard,completed,72,80,81
male,group C,associate's degree,standard,none,71,59,63
male,group E,bachelor's degree,free/reduced,none,65,56,53
female,group D,associate's degree,free/reduced,completed,65,83,85
female,group D,some high school,free/reduced,completed,56,69,67
male,group D,associate's degree,standard,completed,83,77,79
female,group B,bachelor's degree,standard,none,51,60,56
female,group C,some college,standard,none,83,86,79
male,group D,bachelor's degree,free/reduced,none,73,63,65
male,group C,high school,standard,none,80,75,69
female,group B,some college,free/reduced,completed,85,93,90
male,group C,high school,standard,completed,64,47,45
female,group D,some high school,standard,none,37,42,42
male,group C,high school,standard,none,69,68,63
female,group C,bachelor's degree,standard,none,68,84,76
male,group D,high school,free/reduced,none,71,70,66
male,group B,high school,standard,none,79,82,75
female,group A,associate's degree,standard,none,65,83,80
male,group C,master's degree,free/reduced,none,54,63,61
female,group D,associate's degree,free/reduced,none,51,58,59
female,group B,associate's degree,free/reduced,none,4,25,17
male,group D,high school,free/reduced,none,62,50,45
male,group E,bachelor's degree,standard,completed,76,70,74
male,group C,high school,standard,none,89,82,70
male,group D,bachelor's degree,standard,none,93,85,82
male,group D,master's degree,standard,completed,75,74,76
male,group B,high school,standard,completed,78,70,74
male,group D,some college,free/reduced,completed,45,53,53
male,group D,master's degree,standard,none,91,92,95
male,group C,bachelor's degree,standard,none,95,83,75
male,group B,some college,free/reduced,none,55,58,55
male,group D,high school,standard,none,73,70,64
male,group B,bachelor's degree,free/reduced,none,59,49,50
male,group E,some college,standard,completed,90,83,86
female,group A,high school,free/reduced,completed,48,63,57
female,group B,some college,free/reduced,completed,58,68,67
female,group D,some high school,standard,none,33,48,44
female,group B,associate's degree,standard,none,61,57,53
female,group D,some college,standard,none,57,68,68
male,group A,some college,standard,none,70,68,61
male,group D,bachelor's degree,standard,none,87,79,74
male,group A,some high school,standard,none,51,38,41
male,group D,some college,standard,none,65,60,64
female,group E,bachelor's degree,standard,completed,74,91,95
female,group E,some high school,standard,none,66,62,65
male,group D,associate's degree,standard,none,82,88,84
female,group A,some college,standard,completed,82,92,96
female,group D,some high school,standard,none,62,65,66
female,group C,some college,standard,completed,63,72,80
male,group D,some high school,standard,none,87,78,76
female,group C,some high school,free/reduced,none,59,66,70
male,group E,master's degree,standard,completed,99,82,89
male,group D,some college,free/reduced,completed,81,93,92
male,group B,high school,free/reduced,none,42,44,43
male,group D,associate's degree,free/reduced,completed,87,74,77
female,group E,some college,free/reduced,none,77,94,91
female,group D,some high school,free/reduced,none,41,50,55
male,group D,some high school,standard,none,65,56,53
male,group B,some high school,standard,none,72,65,61
male,group C,some college,standard,completed,48,39,43
female,group E,bachelor's degree,standard,completed,100,100,100
male,group B,high school,free/reduced,none,33,37,31
female,group C,associate's degree,free/reduced,completed,56,83,80
female,group D,some high school,free/reduced,none,59,76,69
male,group E,some high school,free/reduced,none,71,59,52
male,group C,some high school,standard,none,71,69,64
female,group D,high school,standard,completed,79,94,100
male,group D,some high school,standard,none,74,62,69
male,group D,some college,standard,none,78,79,73
male,group C,some college,free/reduced,none,45,47,43
female,group B,associate's degree,standard,none,65,72,73
male,group E,some high school,standard,none,75,71,67
male,group C,associate's degree,free/reduced,none,63,70,56
female,group C,associate's degree,standard,none,91,84,89
female,group D,associate's degree,standard,none,83,95,99
female,group C,some high school,standard,completed,61,71,74
female,group D,some college,standard,completed,98,100,100
male,group D,bachelor's degree,free/reduced,none,64,58,62
female,group D,some high school,standard,none,69,71,77
female,group E,associate's degree,standard,none,76,82,79
female,group D,some college,standard,completed,85,100,100
male,group D,high school,standard,none,72,63,60
female,group E,some high school,standard,none,86,89,86
female,group A,some college,free/reduced,none,46,60,61
male,group B,some college,standard,none,66,61,65
female,group D,some college,standard,none,37,42,43
male,group C,associate's degree,standard,completed,63,67,61
male,group C,some college,standard,none,86,78,77
female,group E,master's degree,standard,completed,100,100,100
female,group A,some college,free/reduced,none,56,61,57
female,group C,some college,free/reduced,none,39,53,55
male,group C,some high school,standard,completed,61,56,62
female,group B,bachelor's degree,standard,completed,63,74,75
female,group C,some college,free/reduced,completed,74,92,88
female,group D,high school,standard,completed,83,88,94
female,group D,some high school,free/reduced,none,42,53,57
female,group E,some high school,free/reduced,none,53,59,51
female,group A,some college,standard,none,66,71,72
male,group A,some college,standard,none,96,86,84
male,group E,high school,standard,none,69,72,66
female,group E,high school,free/reduced,completed,65,69,69
male,group D,high school,standard,none,63,61,60
male,group C,high school,free/reduced,completed,36,37,39
male,group C,some college,standard,none,76,65,69
male,group D,some college,standard,none,82,82,79
male,group C,high school,standard,none,77,64,61
male,group C,associate's degree,standard,none,82,76,65
male,group D,bachelor's degree,free/reduced,none,53,39,44
male,group A,some college,standard,none,91,79,76
female,group D,some high school,standard,none,39,36,38
male,group D,some high school,standard,completed,48,46,52
male,group B,some college,free/reduced,completed,64,59,60
male,group D,some high school,free/reduced,none,54,42,38
female,group B,high school,free/reduced,completed,61,82,72
female,group C,some high school,standard,none,44,55,51
female,group A,associate's degree,standard,none,50,56,56
female,group C,high school,standard,none,66,71,66
male,group A,bachelor's degree,standard,completed,69,67,65
male,group C,associate's degree,standard,none,85,70,71
male,group E,master's degree,standard,none,91,80,79
female,group C,high school,standard,completed,71,74,77
female,group D,associate's degree,free/reduced,none,65,75,73
male,group C,some high school,standard,completed,91,79,84
female,group D,associate's degree,standard,none,76,89,94
female,group E,high school,standard,none,64,67,65
male,group E,some high school,standard,completed,100,88,94
female,group D,bachelor's degree,standard,completed,81,90,92
male,group B,associate's degree,free/reduced,completed,42,40,43
male,group C,bachelor's degree,standard,completed,98,91,95
male,group D,some high school,standard,none,76,70,58
male,group D,associate's degree,standard,none,75,75,68
male,group C,master's degree,free/reduced,none,70,67,67
female,group B,some college,standard,none,73,85,81
male,group D,bachelor's degree,standard,completed,71,65,68
male,group B,associate's degree,standard,completed,93,92,95
female,group D,some high school,standard,none,64,69,72
male,group B,bachelor's degree,standard,none,74,73,74
female,group E,associate's degree,free/reduced,none,51,58,58
female,group D,some college,free/reduced,none,65,70,70
male,group E,associate's degree,standard,none,100,89,91
female,group D,some high school,free/reduced,none,66,65,64
male,group A,master's degree,standard,completed,88,79,82
male,group B,bachelor's degree,standard,completed,90,97,91
male,group D,associate's degree,standard,completed,87,87,86
male,group B,associate's degree,standard,none,47,36,34
male,group E,bachelor's degree,free/reduced,completed,74,56,57
male,group C,some college,standard,none,46,41,37
female,group E,some college,free/reduced,none,77,76,75
female,group B,some high school,free/reduced,none,50,61,55
female,group D,associate's degree,standard,none,74,84,88
female,group E,some college,standard,none,75,76,75
male,group D,high school,standard,none,59,56,60
female,group A,high school,free/reduced,none,52,57,57
male,group C,some high school,standard,none,86,85,80
female,group C,some college,standard,none,56,72,69
female,group A,some high school,free/reduced,completed,55,63,58
female,group C,master's degree,standard,none,72,84,76
male,group C,some college,free/reduced,none,52,46,39
male,group E,some college,standard,none,87,77,72
male,group A,high school,standard,completed,77,82,83
female,group C,some college,standard,completed,95,96,93
male,group B,high school,standard,completed,51,62,61
female,group D,some high school,free/reduced,none,54,69,71
male,group D,some high school,standard,completed,73,71,72
male,group B,bachelor's degree,standard,none,61,55,50
female,group D,some college,standard,none,54,66,65
male,group D,master's degree,free/reduced,completed,56,48,51
female,group D,associate's degree,standard,none,46,64,63
female,group E,some high school,free/reduced,completed,32,49,44
male,group C,some high school,free/reduced,none,38,49,44
male,group E,some high school,standard,completed,76,77,75
female,group C,bachelor's degree,standard,none,76,72,82
male,group D,some high school,standard,none,71,75,71
female,group B,some college,standard,completed,72,81,80
male,group C,some college,free/reduced,completed,78,84,90
female,group C,some college,free/reduced,completed,73,86,82
female,group B,associate's degree,standard,completed,73,76,85
male,group C,some college,standard,none,68,62,62
female,group C,some college,standard,none,60,66,67
male,group C,associate's degree,free/reduced,none,58,65,59
female,group D,some high school,standard,none,67,75,76
female,group B,high school,standard,none,73,79,79
male,group C,associate's degree,standard,none,54,44,45
male,group D,master's degree,standard,completed,89,86,95
male,group C,bachelor's degree,free/reduced,none,73,83,79
female,group B,some college,standard,none,77,78,76
male,group B,some college,standard,none,77,69,65
female,group B,associate's degree,free/reduced,none,42,52,49
male,group B,bachelor's degree,standard,none,100,93,89
female,group D,some college,standard,none,62,59,67
female,group C,associate's degree,free/reduced,none,53,62,66
male,group C,some high school,free/reduced,none,48,47,37
male,group C,some college,standard,completed,90,86,87
male,group C,some high school,standard,none,86,70,59
male,group C,master's degree,standard,completed,92,83,85
female,group C,some college,free/reduced,completed,42,45,45
male,group E,bachelor's degree,free/reduced,none,63,66,58
female,group D,some college,standard,completed,64,77,86
female,group D,high school,standard,none,69,76,74
male,group C,associate's degree,free/reduced,completed,71,67,62
male,group E,high school,free/reduced,completed,68,69,61
female,group C,high school,standard,completed,83,99,100
female,group D,some high school,free/reduced,none,40,56,62
female,group E,high school,standard,completed,77,82,81
male,group C,some high school,standard,none,75,64,60
female,group B,high school,standard,none,73,80,78
male,group D,bachelor's degree,standard,none,86,69,65
male,group B,bachelor's degree,free/reduced,none,84,78,79
female,group D,some college,standard,none,53,65,65
male,group A,bachelor's degree,standard,completed,79,74,70
male,group B,bachelor's degree,standard,none,64,69,65
female,group D,high school,free/reduced,none,44,56,56
male,group D,some college,standard,none,87,89,86
male,group D,bachelor's degree,standard,completed,68,75,75
female,group D,some college,free/reduced,none,59,75,71
male,group B,high school,standard,none,68,65,61
male,group D,some college,standard,completed,74,64,68
female,group D,high school,free/reduced,none,30,47,46
female,group B,some college,free/reduced,completed,64,70,80
female,group C,bachelor's degree,free/reduced,none,70,79,82
female,group C,some high school,standard,none,60,61,64
female,group D,associate's degree,standard,none,79,88,92
female,group B,some college,free/reduced,none,62,75,71
male,group D,bachelor's degree,free/reduced,completed,80,77,80
male,group E,associate's degree,standard,none,66,58,53
female,group E,high school,free/reduced,none,85,92,86
female,group D,associate's degree,standard,none,88,95,97
female,group C,some college,standard,completed,51,70,67
female,group B,some college,standard,none,41,49,43
female,group E,master's degree,standard,none,51,49,50
male,group C,high school,standard,none,71,58,56
female,group A,some college,standard,completed,33,46,49
male,group D,associate's degree,standard,none,78,76,69
female,group D,bachelor's degree,standard,none,60,61,68
male,group A,associate's degree,standard,none,78,77,72
male,group B,associate's degree,standard,none,78,71,71
male,group B,some high school,standard,none,79,85,77
male,group C,associate's degree,free/reduced,none,66,58,52
male,group D,bachelor's degree,free/reduced,completed,53,59,58
male,group D,high school,standard,none,89,88,84
female,group D,some college,standard,none,84,93,88
female,group B,bachelor's degree,free/reduced,none,66,85,87
male,group A,associate's degree,standard,none,69,77,67
male,group E,some college,standard,none,89,76,79
female,group B,master's degree,standard,completed,73,83,87
female,group A,associate's degree,standard,none,56,65,58
female,group D,associate's degree,standard,completed,82,95,100
male,group C,high school,free/reduced,completed,67,57,55
male,group A,bachelor's degree,standard,none,72,66,66
female,group E,some college,standard,none,87,85,93
female,group C,some high school,free/reduced,completed,58,67,70
male,group D,some high school,standard,none,62,63,63
female,group B,some college,standard,none,49,58,54
female,group B,associate's degree,standard,none,81,85,87
male,group E,associate's degree,standard,none,94,81,80
female,group C,some college,standard,none,62,59,62
